,Seed,Region,Team,Opponent,Team Score,Opponent Score,Result,Year,Round,team_game_result,fg_pct,fg3_pct,ft_pct,efg_pct,fga,fg3a,fta,orb,drb,tov,opp_name_abbr,pt_diff
13,14,east,Yale,LSU,74,79,0,2019,1,3,0.924094964028777,0.9580132450331128,0.9376324543610549,0.9011735015772872,0.898746005509642,1.3241795332136446,1.1723989159891601,0.9047586206896553,0.8485252051582652,0.6553750000000002,"['Columbia', 'Pennsylvania', 'Princeton', 'Princeton', 'Harvard']",0.35455999999999993
14,7,east,Louisville,Minnesota,76,86,0,2019,1,2,0.8555253438113949,1.1204685307574986,0.8768184331797236,1.072312558139535,0.7350736842105263,0.6451982532751093,0.9986656370656372,1.3256324324324327,1.1610852173913047,0.8514138613861387,"['Boston College', 'Notre Dame', 'Virginia', 'Notre Dame', 'North Carolina']",-0.23072000000000004
15,15,east,Bradley,Michigan State,65,76,0,2019,1,4,1.0209062374245477,0.9467107790821775,1.0209256351039262,1.0188912710566616,0.9419739130434783,0.7846666666666668,1.078171098265896,0.6947561837455832,1.1132121212121213,0.8042409638554219,"['Valparaiso', 'Loyola Chicago', 'Missouri State', 'Loyola Chicago', 'Northern Iowa']",2.04256
16,1,east,Duke,UCF,77,76,1,2019,2,4,0.9254835820895523,0.9357617866004965,0.9369271966527198,0.8934839424141751,0.8550805194805197,1.0531347447073476,0.9609189504373178,0.7720248888888891,1.0083409579667646,1.1057762993762996,"['Wake Forest', 'North Carolina', 'Syracuse', 'North Carolina', 'Florida State']",0.6368
17,4,east,Virginia Tech,Liberty,67,58,1,2019,2,3,0.9727741007194245,0.9928800000000002,0.9831659574468088,1.047152827918171,0.8442923857868022,1.085716171617162,1.0112967148488834,0.8071578947368422,1.0510880829015548,0.7134105263157896,"['Duke', 'Florida State', 'Miami (FL)', 'Miami (FL)', 'Florida State']",0.98368
18,3,east,LSU,Maryland,69,67,1,2019,2,4,0.8955125,1.0530434782608697,0.9137995623632386,0.9268000000000001,0.7859561128526648,0.7498553615960102,0.9705021276595747,1.1588598130841121,1.1388442330558863,0.8113015873015873,"['Texas A&M', 'Alabama', 'Florida', 'Vanderbilt', 'Florida']",1.5811200000000003
19,2,east,Michigan State,Minnesota,70,50,1,2019,2,5,1.0300927536231885,0.9701660986547085,1.0048800000000002,1.0267165876777253,1.1437333333333335,0.9540785046728973,1.0989428950863216,0.8860800000000002,0.9879145205479455,0.8966866807610995,"['Nebraska', 'Michigan', 'Ohio State', 'Wisconsin', 'Michigan']",2.2377600000000006
20,9,east,UCF,Duke,76,77,0,2019,2,3,0.9794510396975427,0.9290463981849122,0.9865015053763443,0.8858292993630575,0.9947353424657535,0.9114285714285717,1.0825639445300463,1.0710570342205326,0.8735237163814183,1.1951104000000004,"['South Florida', 'Houston', 'Cincinnati', 'Temple', 'Memphis']",0.04224000000000032
21,12,east,Liberty,Virginia Tech,58,67,0,2019,2,5,1.0122094903339194,0.9579022761760244,1.045062833675565,0.739298969072165,1.0625604336043362,0.9827175572519087,1.0661264516129034,0.8891528384279477,1.025158166862515,0.8406607792207795,"['Kennesaw State', 'NJIT', 'Jacksonville', 'North Florida', 'Lipscomb']",2.3699200000000005
22,6,east,Maryland,LSU,67,69,0,2019,2,2,0.9580202334630352,0.932009638554217,0.9723581291759467,0.8977923620933524,0.8875094555873927,1.0615374800637962,1.0656000000000003,0.9175246200607902,0.9261886792452833,1.001240281030445,"['Ohio State', 'Penn State', 'Michigan', 'Minnesota', 'Nebraska']",0.25983999999999996
23,10,east,Minnesota,Michigan State,50,70,0,2019,2,3,0.9767103734439836,0.9258373712604219,0.9940855172413796,0.8344835820895523,0.8918763406940065,1.0787094339622643,0.9722768328445748,0.7037892215568864,1.1146691943127962,1.0092332493702771,"['Purdue', 'Maryland', 'Penn State', 'Purdue', 'Michigan']",-0.7446400000000001
